S.N,A1,A2,A3,B1,B2,B3,C1,C2,C3,D1,D2,D3,E1,E2,E3,F1,F2,F3,G1,G2,G3,H1,H2,H3,PCI
142,0,1.65,0,0,0,0.26,0,0.26,0.22,0.43,0,0.15,0,0.6,0,0.01,0,0.3,0,0,0,0,0,0,16
143,0.6,0,0,1.3,0,0,0.256,0,1.13,0,0.22,0,0,0.6,0,0,0,0,0.2,0.79,0.15,0,0,0.15,74
144,0,0,1.05,0,0.15,0.56,0,0.23,0,0,0,0,0.1,0.1,0,0,0.03,0,0,0,0,0,0.33,0,60
145,0,0,0,0,0,0,0.38,0.33,0.16,0,0,0.17,0,0.18,0.45,0,0,0.2,0,0,0,0,0,0,30
146,0,0.65,0,0,0,0,1,0.6,0.645,0.2,0.5,0,0.66,0.23,0,0,0,0,0,0.99,0.19,0,0,0.5,56
147,0,0,0,0,0.66,0.66,0.61,1.7,0.6,0,0.21,0.48,0,0,0,0.01,0.32,0,0,0,0,0,1,0,38
148,0.04,0,1.05,1,0,0,0.33,0,0,0,0,0.45,0.455,0.23,0,0,0,0.1,0,0,0,0,2.3,0,24
149,0,0.8,0,0,0.62,0,0.8,0,0.33,0,0.3,0.15,0,0,0,0,0,0,0,0.15,0.56,0,0,0.5,50
150,0,0,0,1.25,0.2,0.45,0,0.2,0.3,0,0,0,0,0.15,0.15,0,0,0,0,0,0,0,0,0,86
151,0,0,1.06,0,0,0,0.23,0.45,0.75,0.33,0,0.69,0,0.2,0,0,0.01,0.4,0.25,0,0,0,0.25,0,14
152,0.6,0.04,0,0,0,0,0,0.12,0,0,0.12,0.19,0,0.2,0,0,0,0,0,0,0,0,0,0.5,68
153,0,0,0,0,0,0.45,0.45,0.14,0,0,0.25,0.2,0,0.9,0.55,0.01,0,0,0,0,0,0,0,0,62
154,0,0.6,0,1.22,0.15,0,0,0.6,0,0,0.1,0.63,0,0,0,0,0,0,0.22,0,0,0,0.455,0,54
155,0,0,0,0,0,0,0,0,0.48,0,0,0.5,0,0,0,0,0.13,0,0,0,0,0,0,0.5,60
156,0,0,0,0,0,0,0.52,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,86
157,0,0,0,0,0,0.23,0.22,0.5,0,0,0.22,0,0,0.03,0,0,0,0,0.5,0,0,0,0,0,86
158,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0,0,0,0,0,0,0,0,0,0.12,94
159,0,0,0,0,0,0,0.6,0.23,0.6,0,0.76,0,0,0.2,0,0.04,0,0,0,0,0,0,0,0,80
160,0,0,0,0,0,0.45,0.6,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,44
161,0,0,0,0,0.26,0,0,0,0,0,0,0.23,0,0,0,0,0,0,0,0,0,0,0,0,91
162,0,0.3,0,0.6,0,0.4,0,0,0.6,0,0,0.2,0,0,0,0,0.12,0,0,0,0,0,0,0.08,56
163,0,2.4,0,0,1.2,0,1.5,0,0,0,0,0,0.1,0,0.1,0,0.01,0.05,0,0,0,0,0,0,44
164,0.9,0,0,0,0.4,0,1.28,1.2,0.605,0.3,0.12,0.53,0,0.44,0.78,0.15,0,0.06,0.15,0,0.63,0.66,0,0.8,28
165,0,0.56,0,0,0.5,0,0,0.43,1.59,0.22,0.7,0.23,0,1.4,2.96,0,0.06,0,0,0.23,0,0,0,0,38
166,0,0,0.85,0,0,0,0,0.56,0,0,0,0,0,0,0.66,0,0,0,0.23,0,0.66,0,0,0,58
167,0.6,0,0,0,0,0,0.69,0.6,0,0,0.75,0,0,0,0.8,0,0,0,0,0,0,0,0,0,74
168,0,0,0.26,0,0,0.65,0,0.6,0.213,1.91,0.25,0,0,0.56,0,0.26,0,0,0,0,0,0,0,0.6,32
169,0,0,0,0,0,0,0,0.25,0.65,0.23,0.26,0,0,0,0.78,0,0.02,0,0,0,0.15,0,0,0,74
170,0,0,0.6,0,0,0,0,0.95,0.5,0.23,0.6,0.8,0,1.6,0,0,0,0.1,0,0,0,0,0,0,18
171,0,0,0,0,1.2,0,0.6,0,0.56,0,1.13,0,0,0,0,0,0,0,0,0,0,0,0,0,76
172,0.45,0,0,0,0,0,0,0,0,0.32,0.62,0.556,0,0.23,0,0.31,0,0,0,0,0,0,0.45,0,48
173,0,0,0.26,0,0,0,0,1.46,0.9,0.1,0.3,0.26,0,0,0.69,0,0.03,0,0.3,0.3,0,0,0,0.45,50
174,0,0.65,0,0,0.6,0,0,0,1.8,0.21654,0.23,0.6,0,1.5,0,0,0,0,0,0,0.23,0,0,0,40
175,0,0,0.262,0,0,0.54,0.62,0.66,0.4,0.51,0.6,0,0,0,0,0,0,0.08,0,0,0,0.451,0,0,42
176,0,0,0.65,0,0,0,0.23,1.44,0.56,0,0.37,0.62,0,0.96,0.6,0,0,0,0,0,0,0,0.645,0,54
177,0,0,0,0,0.8,0,0,1.1,0.94,0,0,1.03,0,0,1.23,0.18,0.04,0,0,0,0,0,0,0.69,28
178,0,0,0.26,0,0,0,0,0,0,1.23,0,0,0,0.6,0,0,0,0,0,0.12,0.455,0.12,0,0,72
179,0.23,0,0.26,0,0,0.5,1.5,1.6,0,0.15,0.63,0.123,0,0,0,0,0,0,0,0,0,0,0,0,66
180,0,0,0.63,0,2.6,0,0.89,0,0,0,0.85,0.717,0,0.15,0,0,0,0.06,0.15,0.22,0,0,0.66,0,26
181,0,0,0,0,0,0,0,0,2.14,0.7,0,0.12,1.23,0,1.22,0..66,0,0,0,0,0,0.66,0,0,60
182,0,1.23,0,0,0,0.5,0.78,0.245,0,0.63,0.42,0.323,0,0.9,0,0,0.05,0,0,0,0.45,0,0,1.23,36
183,0,0,0,0,2.1,0,0,1.3,0,0,0.03,1.3,0,0,0,0,0,0,0,0.15,0,0.15,0,0,40
184,0,0,0.45,0,0,0.54,0.66,0,0.2156,0,0,0,0,0.11,0,0,0,0,0,0,0,0,0.66,0,4.5
185,0,0.32,0,0,0,0,0.6,0.8,0.15,0.23,0.22,0.14,0,0,0.23,0,0.06,0.12,0,0,0,0,0,0,36
186,0.11,0,0,0,0.96,0.512,0.6,0.6,0,0,0.76,0.6,0,1.2,0,0,0,0,0,0,0.99,0.85,0,1.56,48
187,0,0,0,0,0,0,0.25,0.54,1.15,0.9,0.26,0,0,0.6,0,0.3,0,0,0.66,0,0,0.11,0,0,52
188,0,0,0,0,0,0,0.27,0.55,0.6,0.215,0.71,0,0,0,3.75,0,0.07,0,0,0.55,0,0,0.18,0,58
189,0,0,0,0,0.85,0.15,0.653,0.33,0.74,0.32,0.96,0.72,0,0,0.66,0,0,0,0,0,0.6,0,0,0,62
190,0,0,0.45,0,0,0,0.3,0,0.6,0,0.68,0,0,1.23,0,0,0,0.26,0,0,0,0,0,0.96,20
191,0.22,0.51,0,0,0,0,0.15,1.665,0.066,0.056,0.11,0.22,0,0.3,0,0,0,0,0,0,0,0.17,0,0,72
192,0,0,0,0,0.85,0.15,0.6,0,0.765,0.656,0.6,0.15,0,0,0.36,0,0.08,0,0,0,0.96,0,0.6,0,50
193,0,0.15,0.5,0,0,0,0,0.62,1.3,0.9,0.74,0,0,0.65,0,0.3,0,0,0,0,0,0,0,0,40
194,0,0.15,0,0,0,0,1.65,0.6,0.11,0.29,0,0.1,0,0,0.99,0,0,0.14,0,0.33,0,0,0,0.66,32
195,0,0.23,0,0,0.51,0.15,0,0,0,0,0,0.23,0,0.07,0.11,0,0,0,1.2,0,0.33,0.23,0.14,0,58
196,0,0.26,0,0,0,0,0,0.7,0.606,0,0.482,0.06,0,0,0,0,0.09,0,0,0,0,0,0,0,58
197,0,0,0.56,0,0,0.05,0.85,0.71,0.765,0.1,0,0,0,0.66,0.44,0,0,0,0,0,0,1.25,0,0,62
198,0,0.52,0,0,0.15,0,0.74,0.6,0.56,0.816,2.28,0,0,0.99,0,0.09,0,0.11,0.3,0,0.74,0,0,0.66,28
199,0.56,0,0,0,0,0.632,0.145,0,0,0,0,0.06,0,0,1.58,0,0,0,0,0,0,0.32,0.47,0,82
200,0,0,0,0,0,0,0,0.63,1.38,0.126,0,0,0,0,0.25,0,0.1,0,0,0.33,0,0,0,0,56
201,0,0,0,0,0,0.545,0.516,0.9,0.55,0,0,0.56,0,2.336,0.7,0,0,0,0.33,0,0.17,0,0,0,60
202,0,0,0.99,0,0.5,0,0.56,0.5,0.74,0.32,0,0,0,0,0.45,0,0,0,0.48,0,0,0.6,0,0,60
203,0,0.5,0.32,0,1.25,0.5,0,0.6,2.618,0.216,1.05,1.1,0,0.23,1.33,0.8,0.11,0,0,0.66,0,0,0.455,0.78,12
204,0,0,0.9,0,0,0,0,0,0.7,0,0,0,0,1.35,0,0.6,0,0.06,0.66,0,0.23,0.55,0,0,20
205,0,0,0,0,0.15,0,0.165,0.12,0.5,0,0,0.4,0,0.33,0,0,0,0,0,0,0,0,0,0,70
206,0,1.2,1.3,0,1,0.05,0.65,0,0.23,0.51,0,0,0,0,0.45,0,0.33,0,0,0,0.32,0,0.65,0,24
207,0,0,0.15,0,0.05,0,0.4,0,0,0,0,0,0,0.4,0,0,0,0,0.6,0.45,0,1.33,0,0,78
