S.N,AC1,AC2,AC3,BE1,BE2,BE3,D1,D2,D3,F1,F2,F3,G1,G2,G3,H1,H2,H3,IRI
256,0,1.2,0,1.22,0.15,0,0,0.1,0.63,0,0,0,0.22,0,0,0,0.455,0,6.29
257,0,0,0,0,0.564,0,0.69,0.8,0.7,0,0,0,0,0,0,0,0,0,1.65
258,0,0.56,0.85,0,0,0.66,0,0,0,0,0,0,0.23,0,0.66,0,0,0,5.09
259,0,0.41,0,0.96,0,0.12,0.3733,0,0,0,0,0,0,0,0,0,0.85,0,2.99
260,0,0.6256,0.561,0.41,0,0.26,0,0,0.16,0,0,0,0,0,0,0,0,0,2.91
261,0.42,0,0,0.67,0,0.33,0,0.6,0,0,0.05,0,0,0,0,0.15,0,0,3.28
262,0,0.33,0,0,0.68,0.48,0.23,0.583,0.1,0,0,0,0,0.23,0,0,0,0,2.81
263,0,1.241,0,0,0.63,0.85,0,0,0.731,0,0,0,0,0,0,0,0,0,2.83
264,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.01
265,0.056,0.36,0.33,0.15,0.15,0,0,0.36,0,0,0,0,0,0,0,0,0,0,2.66
266,1.01,0,0.15,0,0,0.25,0.81,0.33,0,0,0,0,0,0,0,0,0,0,2.38
267,0,0.62,0.26,0,0,0.4,0,0.15,0.15,0,0,0,0,0,0,0,0,0,1.79
268,1.17,0.41,0.3,0,0.15,0,0,1.387,0,0,0,0,0,0,0,0,0,0,3.51
269,0,0,0.52,0,0.3,0.32,0,0,0,0,0,0,0,0,0,0,0,0,2.78
270,0,0.1251,0.66,0,0.67,0,0,0.36,0,0,0,0,0,0,0,0,0,0,2.77
271,0,0,0.6,0.5,0.6,0.81,0,0.6521,0,0,0,0,0,0,0,0,0,0,2.75
272,0.15,1.18,0,0.233,0.43,0.47,0.15,0,0,0,0,0,0,0,0,0,0,0,2.59
273,0.15,0,0,0.15,0.63,0.54,0,0.1,0,0,0,0,0,0,0,0,0,0,1.25
274,0,1.6556,0.89,0,0.11,0.15,0,0.15,0,0.01,0,0,0,0.3,0,0,0,0,3.84
275,0,0,1.47,0.63,0,0.36,0,0.11,0,0.05,0,0,0.05,0,0,0,0,0,3.85
276,0.63,0,0.95,0.15,0,0.23,0.32,0,0.57,0,0,0,0,0.01,0,0,0,0,4.5
277,1.31,2.11,0,0.32,0,0.12,0,0.652,0.3,0,0,0,0,0,0.01,0,0,0,4.7
278,0.51,0,0.45,0.32,0.48,0.36,0.32,0,0.15,0,0.01,0,0,0.3,0,0.015,0.15,0,4.66
279,0,0,0.18,0,0.15,0.36,0.15,0.33,0.15,0,0,0,0,0,0,0,0.15,0,4.6
280,0,0.73,0.36,0,0,0,0.36,0.8,0,0,0,0,0,0,0,0.8,0,0,5.84
281,0.85,0.23,0.12,0,0,0,0,0.38,0.62,0,0.04,0,0,0,0,0,0,0,5.81
282,0.52,0,0,0,0.63,0,0.415,0,0,0,0,0.054,0,0,0,0,0,0,6.65
283,0.55,0,0.23,0,0,0.73,0,0,0.75,0,0,0,0,0,0,0,0,0,7.22
284,0.6,0.75,0.23,0,1.36,0.22,0,0.15,0,0.01,0.02,0,0,0.23,0,0.41,0,0,2.84
285,0.67,0.23,0.57,0,0,2.12,0.34,0,0,0,0,0,0,0,0,0,0,0,3.12
286,0.64,1.58,0,1.23,0,0.78,0,0,0.23,0,0,0,0.15,0.23,0,0,0,0,2.55
287,0.89,0.36,0.26,0,0.7,0.25,0.12,0.43,0.23,0,0,0.01,0,0.35,0,0,0,0,4.85
288,0.1,0.47,0.32,0,0.12,1.31,0.6,0.47,0,0,0,0,0,0,0,0,0,0,3.02
289,0.32,0.23,0.3,0.15,0.44,0.23,0.43,0.11,0.48,0,0.01,0.02,0,0,0,0,0.15,0,4.59
290,0.84,1.27,0,0,0.25,0.15,0,0,0,0,0,0,0,0,0.66,0,0,0,4.88
291,0.47,0.75,0.32,0.37,0.15,0.82,0,0.22,0.11,0,0,0,0,0,0.15,0,0,0,4.45
292,0.44,1.485,0,0,2.3,1.21,0.411,0,0,0,0,0,0,0.11,0,0,0.15,0,4.65
293,0.75,0.25,0.67,0,0.58,0.99,0.11,0.78,0,0,0,0,0,0.14,0,0.11,0,0,5.12
294,0.213,0.55,0.21,0.562,0.86,0.26,0.41,0,0.413,0,0,0.01,0,0.11,0.3,0,0.11,0.213,5.55
295,0.12,0.38,1.11,0,0,0.92,0.11,0.46,0.64,0,0,0,0.18,0,0,0.15,0,0,4.15
296,0.2,0.35,0.92,0,0.375,0.475,0,0,0.533,0,0,0.02,0,0,0,0,0,0,5.99
297,0.51,0,0.15,0.15,0,0.32,0,0.26,0.65,0,0,0,0,0,0,0,0,0,5.48
298,0,0.3,0.2,0.13,0.77,0,0.3,0,0.11,0,0,0,0,0,0,0.1,0,0,2.44
299,0.2,0.6,0.945,0.11,0,1.1,0,0.11,0,0,0,0,0,0,0,0,0,0,2.85
300,0.3,0.844,0.562,1.21,0.156,0.33,0,0,0.12,0,0,0,0,0,0,0,0,0,4.88
301,0.25,0.11,0,0,0.23,0.3,0,0,0.32,0,0,0,0,0,0,0,0,0,4.56
302,0.11,0,0.85,0,1.38,1.67,0,0.43,0.21,0,0.01,0,0,0,0.15,0,0,0,4.98
303,0.385,0,1.12,1.2,0,0,0,0.45,0,0,0,0,0,0,0,0,0,0,2.85
304,0.81,0.59,0.34,0.13,0.32,0.44,0,0.42,0.12,0,0,0,0,0,0,0,0,0,4.56
305,0.23,0,0,0.23,0.12,0.52,0.15,0.23,0.44,0,0,0,0,0,0,0,0,0,6.15
306,0,0.26,0.62,0.65,1.51,0,0.21,0.32,0.23,0,0,0,0,0.01,0,0,0,0,7.65
307,1.174,0.15,0,0,0,0.582,0.11,0.4,0.2,0,0,0,0,0,0,0.2,0,0,3.5
308,0.29,0.23,0.55,0,0.15,0.67,0,0.23,0,0,0,0,0,0,0,0,0,0,1.08
309,0,0.33,0.3,0.85,0.52,0,0.15,0.33,0,0,0,0,0,0.15,0,0,0,0,2.63
310,0.52,0.892,0.75,0.32,0.27,0.8,0.32,0,0.3,0,0,0,0,0,0,0,0,0,4.58
311,0,1.063,0.626,0,1.53,0.266,0,0.11,0,0,0,0,0,0,0,0,0,0,2.39
312,0,0,0,0.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.58
313,0.9,0,0.75,0.12,0.32,1.65,0,0,0.5,0,0,0,0,0,0,0,0,0,2.65
314,0.216,0.3,0.91,0,0.6,0,0,0.36,0.2656,0,0,0,0,0,0,0.02,0,0,1.54
315,0,0.55,0.78,0.15,0.62,1.25,0.25,0,0.651,0,0,0,0,0,0,0,0,0,2.68
316,1.11,0.51,0,0,0.03,0.356,0,0.25,0.25,0,0,0,0,0,0,0,0,0,4.55
317,0.32,0.39,0.14,0,0.62,0.652,0,0.58,0.626,0,0,0,0,0,0,0,0,0,1.45
318,1.376,0.21,0.42,0.6251,0,0.44,0,0.15,0.252,0,0,0,0,0,0,0.35,0,0,2.15
319,0,0.125,0,0,0,0,0,0,0.018,0,0,0,0,0,0,0,0,0,1.14
320,0,0.35,0.2,0,1.2,1.63,0.12,0.224,0.05,0,0.085,0,0,0,0,0,0.2,0,4.87
321,0.32,0.15,0,0,0,0.41,0.15,0.26,0.66,0,0,0,0,0,0,0,0,0,2.66
322,0,0.383,0.3,0.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.84
323,0,0.22,0,0.55,0.54,0.45,0,0,0,0,0.055,0,0,0,0,0,0,0,2.48
324,0,0.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11,0.12,0,2.9
325,0.32,0.24,0.75,0,0,0.11,0.22,0.36,0,0.01,0,0,0.11,0.2,0,0,0,0,5.48
326,0,0,0.66,0.32,0.11,0,0.11,0.32,0,0,0.01,0.03,0,0.01,0,0.12,0,0,6.25
327,0.15,0.5,0,0,0.32,0,0,0.3,0.1,0.02,0.021,0,0,0,0.15,0.13,0.32,0,5.14
328,0.27,0.73,0,0,0.12,0,0,0,0,0,0,0.01,0,0.01,0,0,0,0.52,3.14
329,0,0.45,0.46,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,2
330,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0.11,0.6,0.015,0.15,0,2.52
331,0.685,1.85,0.11,0,1.261,0.37,0.15,0.44,0.25,0,0.001,0.005,0,0,0,0,0,0,5.69
332,0.15,0.55,0,0,0.47,0,0.23,0.32,0,0.01,0,0,0,0,0.22,0,0,0,2.17
333,0,0.32,1.43,0,0.11,1.31,0.14,0.15,0,0,0,0,0,0,0,0.62,0,0.62,4.63
334,0,0.88,1.55,0,0,0,0,0.62,0.11,0,0,0.06,0,0.11,0,0,0,0,7.98
335,0.22,0,0,0,1.476,1.84,0,0.372,0.35,0,0.05,0.005,0,0,0,0,0.66,0,6.56
336,1.18,0.65,0.55,1.25,0,0.23,0,0.62,0,0.3,0,0.008,0,0,0,0,0,0,6.98
337,0.11,2.47,1.37,0.615,0.15,0.15,1.06,0.78,0.12,0,0,0,0,0.52,0,0.616,0,0.15,6.41
338,0.52,0.32,0.221,0,2.14,0,0,0.12,0,0,0,0,0,0,0,0,0,0,2.85
339,0.66,0.25,0.55,0,0.302,1.76,0.15,0.25,0.65,0,0,0,0,0,0.21,0,0.55,0,6
340,0.2,1.17,0.15,0.62,0.82,0.15,0,0.3,0.25,0.06,0,0.008,0,0,0,0,0,0.16,4.65
341,0.15,1.8,0.63,0,0.91,0,0,1.27,0,0,0,0,0,0.566,0,0.62,0,0,4.33
342,1.22,0,0.27,0,0,2.451,0,0.6,0,0,0.02,0,0,0,0,0,0.51,0.15,4.85
343,0.6,0.15,0.52,0,0.51,0,0,0.63,0.65,0,0,0,0,0,0.12,0,0,0,4.14
344,0.36,2,0,0.52,1.8,0.15,0.415,0.84,0,0.05,0.01,0,0,0.66,0,0,0,0,4.11
345,0,0.626,0.22,0,0.84,0.51,0,0,0.63,0,0,0,0,0,0,0,0,0,4
346,0,0.18,0.23,0.626,0.48,0,0,0.11,0.15,0,0,0,0,0,0,0,0,0,2.68
347,0,0,0.34,0,1.49,1.21,0.15,0.88,0.11,0,0.05,0,0,0.61,0,0,0,0,5.15
348,0.15,1.22,0.48,0,0,0.14,0.15,0.65,0.65,0,0,0,0,0,0,0,0,0,5.98
349,0,0,0.25,0.6,0.22,0.4,0,0.48,0.15,0,0,0.15,0,0,0,0,0,0,8.66
350,0.15,0.75,0.83,0,0.55,1.09,0,0,0.25,0,0.32,0.15,0,0.165,0,0,0,0,12.65
351,0,0.63,0.52,0.15,0.66,1.01,0,0.56,0.621,0,0.15,0,0,0,0,0,0,0,6.99
352,0,0,0.15,0,0.15,0.55,0.11,0.6,0.74,0,0.22,0,0,0,0,0,0,0,7.48
353,0,0.52,1.21,0,1.2,0.45,0,0,0.51,0,0.05,0.05,0,0,0,0,0,0,9.52
354,0.32,1.32,0.31,0,0,0.45,0,0.47,0.25,0,0,0.041,0,0,0,0,0,0,5.68
355,0,0.25,0,0,0.55,1.441,0,0,0,0,0,0.01,0,0,0,0,0,0,3.56
356,0,0.7,0.15,0,0,0.32,0,0,1.2,0,0,0,0,0,0,0,0,0,6.58
357,0.33,1.55,0.582,0,0.77,0,0.63,0,0.63,0,0,0.23,0,0,0,0,0,0,6.12
358,0,0.262,1.32,0,0,0.94,0,0.15,0,0,0,0,0,0,0,0,0,0,3.22
359,0,0.26,0.38,0.32,0,0,0,0.62,0.69,0,0,0.051,0,0,0,0,0,0,8.78
360,0,1.17,0.55,0.15,0.62,0.51,0,0,0.15,0.15,0.23,0.085,0,0,0,0,0,0,11.2
361,0.15,1.203,0,0.5,0,0,0.33,0.176,0,0.15,0,0.051,0,0,0,0,0,0,9.65
362,0,0.25,0.32,0,1.133,0.74,0.25,0.22,0.66,0,0.021,0.1,0,0,0,0,0,0,9.85
363,0,0.156,0.15,0,0,1.12,0,0.85,0.36,0.05,0,0,0.36,0,0.51,0,0,0,4.58
364,1.43,0.78,0.15,0.4,0.51,0,0,0,0.63,0,0,0.23,0,0,0,0,0,0,6.85
365,1.24,1.6603,0.15,0,0.3,0.66,0.25,0.921,0,0,0,0.012,0,0.63,0,0.623,0,0,4.88
366,0,0,0.2,0,0,1.51,0.15,0.63,0,0.05,0,0,0.66,0,0,0,0,0.35,6.55
367,0.412,0.26,0.11,0,0,1.37,0.66,0,0.1,0,0,0.032,0,0.2,0,0,0,0,5.88
368,1.22,0.8,1.37,0,0,0.12,0,0.336,0,0,0.52,0,0.25,0,0.215,0,0,0.65,9.65
369,0,0,0,0.32,0.15,0.62,0,0.865,0,0,0.51,0,0,0,0,0,0,0,7.48
370,0.11,1.02,0,0,0,0.552,0,0,0,0,0.15,0.051,0,0,0,0.15,0.652,0,8.55
371,0.25,0,0.8,0,0,0.6,1.8326,0,0.7,0.15,0,0,0,0,0,0,0,0.15,7.14
372,0.566,0.62,0.4,0,1.2,0,0,0.55,0,0,0,0,0,0.515,0,0,0.15,0,4.85
373,0,1.14,0.65,0,0,0.6,0.125,0.66,0,0,0,0.05,0,0,0,0,0,0,7.12
374,0.15,0.25,0,0,0,0.15,0.77,0.51,0,0,0,0,0,0,0,0,0,0,3.65
375,0,0,0.25,0,0.15,0.55,0,0,0,0,0,0,0,0,0,0,0,0,1.55
376,0,0,0,0,0.36,0.52,0.26,0.17,0.6,0,0,0,0,0,0,0,0,0,3.52
377,0.52,0.84,0.16,0,1.16,0.85,0.32,0,0,0,0,0,0,0,0,0,0,0,4.22
378,0,0.52,0.32,0,0.085,0.52,0.52,0,0.15,0,0,0,0,0,0,0,0,0,2.2
379,0.61,0,0.46,0,0.63,0,0.26,0.35,0,0.01,0.1,0.04,0,0,0,0,0.32,0,7.25
380,0,0.15,1.126,0,0,2.1715,0.32,0.063,0,0,0,0,0,0,0,0,0,0,4.15
381,0,0.65,0.7,0,0,0,0.15,0,0.5,0,0,0,0,0,0,0,0,0,4.28
382,0.24,0.11,0.612,0,0,0,0.56,0,0,0,0.06,0,0,0,0,0,0,0,4.65
383,1.43,0.63,0,0,0.15,1.65,0.51,0.36,0,0,0.05,0,0,0,0,0.32,0,0,4.02
384,0,0.84,0,0,0,0,0,0,0.66,0,0,0,0,0,0,0,0.085,0,2.99
385,0.12,0.3026,0.1,0,0.65,0,0,0.85,0.25,0,0,0.01,0,0,0,0,0.552,0,3.25
386,0.562,0.33,0.33,0,0,2.44,0.25,0.31,0,0,0,0,0,0,0,0,0,0,2.65
387,0.15,0.36,0,0.32,0,2.51,0,0.15,0,0,0,0,0,0,0,0.15,0,0,2.01
388,0.12,0.51,0,0,0.32,0,0,0,0,0,0.01,0,0,0,0,0,0,0,1.08
389,0,0.5,1.38,0.47,0.11,0.11,0,0,0,0,0,0.06,0,0,0,0,0,0,5.65
390,0.15,0.933,0.15,0,0,0.76,0.36,0.96,1.19,0,0,0,0,0,0,0,0,0,4.98
391,0.52,0.25,0.15,0,0,0.22,0,0.15,0,0,0,0,0,0,0,0.52,0,0,1.02
392,1.04,0.515,1.03,0.65,1.03,0,0.6,0.33,0.32,0,0.001,0,0,0,0,0,0,0,3.05
393,0,1.4,0.55,0.15,0.15,0.75,0.32,0.9,0.215,0,0.05,0,0,0,0,0,0,0,5.25
394,0.35,0.78,0.22,0.55,0.62,0.55,0.51,0.23,0.15,0,0,0,0,0,0,0.03,0.32,0.26,3.66
395,1.2,1.611,0.656,1.02,0.51,0.22,0,0.4,1.3,0,0,0.006,0,0,0,0.11,0,0,5.65
396,1.21,1.34,1.43,0.51,0.51,0,0.4,0,0,0,0,0.08,0,0,0,0,0,0,6.88
397,0.26,1.102,2.05,0.78,0,0.93,0.85,0,0,0.01,0,0.02,0,0,0,0,0,0,4.88
398,0.15,0.555,1.44,0.55,0,1.7151,0.15,0.52,0,0,0,0.01,0,0,0,0,0.15,0,5.12
399,0.22,0.61,1.13,0.17,0,0,0.1,0,0.65,0,0,0,0,0,0,0,0,0,5.23
400,0.635,0.56,1.92,0.45,0.33,0.298,0,0.15,0.15,0,0,0.08,0,0,0,0,0,0,7.25
401,0.66,1.1612,0.85,0,0,0,0.82,0,0.52,0,0.12,0,0.32,0,0,0.3,0,0.5,5.74
402,0,1.11,0.651,0,0.51,0.65,0.164,0,0,0,0.11,0.15,0.15,0,0,0,0,0.158,8.55
403,0.15,0,0.621,0,0.66,1.176,0.513,0.62,0,0,0,0,0,0.32,0,0,0,0,3.45
404,0,0.55,0,0,0.63,0.5,0,0.5,0.1,0,0,0,0,0.15,0,0,0,0,3.15
405,0,0.52,0,0,0.62,0.26,0,0.6,0.18,0,0,0,0,0.55,0,0.15,0.516,0.15,4.95
406,0.762,0.15,0.15,0,0,1.086,0.63,0,0,0,0.04,0.02,0.32,0.15,0,0,0,0,6.22
407,1.253,0.53,0.3,0,0.22,1.14,0,0,0,0,0,0,0.216,0,0,0,0,0,6.85
408,0,0.765,0.63,0,0,0.63,0,0.84,0,0,0,0,0.51,0,0.36,0,0,0,6.15
409,0.32,0.975,0.89,0,0.5,1.25,0,0.63,0,0,0,0,0.66,0,0.15,0.52,0,0,6.44
410,0.872,0,0.941,0,0.15,0.85,0,0.12,1.061,0.23,0.51,0,0,0.51,0.565,0,0.612,0,9.69
411,0.6,1.38,1.71,0.41,0,1.85,0.5,0.62,0.05,0.1,0,0.06,0,0.51,0,0,0,0,9.33
412,0,0.66,0.87,0,0,1.73,0,0.51,0,0,0.1,0,0,0,0,0.52,0,0,4.23
413,0.25,1.2551,0.75,0,1.02,0,0,0,0,0,0,0,0,0.33,0,0,0.16,0,3.23
414,0.11,0.93,1.37,0,0,0,0.3,0.32,0.52,0.14,0,0,0.32,0.15,0,0,0.16,0,4.25
415,0.77,0,0.846,0,0.11,0.5621,0,0,0,0.15,0,0,0.32,0.515,0.55,0,0.062,0,4.25
416,0.51,0.95,0.15,0,0.15,0.18,0,0.5,0.1,0,0,0.156,0.055,0.2,0,0,0.15,0,7.66
417,0.062,0.265,0.38,0,0,0,0,0,0,0.05,0.01,0,0.85,0,0,0,0,0,2.56
418,1.186,0,0.51,0,0,1.14,0.15,0.32,0,0,0,0,0,0,0,0,0,0,2.65
419,0.12,0.52,1.81,0,0.15,0,0,0,0,0,0,0.05,0,0,0,0,0,0,4.89
420,0.62,0.91,1.69,0.11,0.33,0,0,0.35,0.61,0,0,0,0,0,0.51,0,0,0,8.66
421,0.85,0.32,3.05,0.15,0,0.615,0.12,0.3,0,0.01,0.08,0.1,0,0,0,0,0,0,8.69
422,0,0.66,1.28,0,0.145,0,0,0.12,0,0,0,0,0,0,0,0,0,0.644,5.32
423,0.52,0.15,2.22,0,1.37,1.21,0,0.541,0.18,0,0,0,0.52,0.05,0.52,0,0,0,6.58
424,0.825,0,1.49,0,0.55,0.74,0,0,0.15,0,0.08,0,0,0,0.02,0,0,0,5.65
425,0.2,1.232,1.6,0,0.5665,0.61,0,0,0.5,0.01,0,0,0,0,0.5,0,0,0.656,6.85
426,0.49,0.44,2.16,0.36,0.78,0.85,0,0.55,0.562,0,0,0,0.15,0,0.63,0,0,0,5.45
427,0.495,0,1.46,0,0.4566,0.45,0,0.51,0.145,0,0,0.02,0,0.33,0.621,0,0,0.61,7.62
428,0,2.28,1.391,0,0.1,0.77,0.32,0.514,0,0.08,0,0,0,0,0.15,0,0,0,5.44
429,2.03,2.5415,0.48,0.51,0,0,0,0.7,0,0.15,0,0,0.33,0,0,0,0,0,5.55
430,0.32,2.041,1.18,0,0,0,0,1.02,0,0,0,0.064,0,0.15,0,0,0,0,7.11
431,0,2.64,0,0,0,2.13,0.52,0.51,0,0.15,0,0,0,0,0.51,0,0,0,6.58
432,1.45,1.315,0.36,0,0.6,0.47,0,0,0,0,0,0,0,0,0.52,0,0,0,5.25
433,0.51,1.031,1.27,0.62,0,0.25,0.45,0,0,0,0,0,0.01,0.05,0.5,0,0,0,5.63
434,0,0.52,0.51,0,0.45,0.63,0,0.85,0,0,0,0,0.045,0,0.51,0,0,0,5.12
435,1.48,1.34,0.99,0,0.585,0.711,0,0.1625,0,0,0,0,0,0.11,0.015,0,0,0,5.45
436,1.765,0,1.82,0.15,0.956,0,0,0.15,0,0,0,0,0,0,0,0,0,0,3.56
437,0.552,0,1.35,0,0.345,0,0.65,0.55,0,0,0,0,0,0,0,0,0,0,4.22
438,0.78,0.62,1.35,0.51,0,0.21,0,0.84,0,0.62,0,0,0,0.003,0,0,0,0,7.58
439,1.015,0,0.78,0,0,0,0,0.74,0,0,0,0,0,0,0.015,0,0,0,2.33
440,1.23,0,0.85,0,0,0,0.855,1.02,0,0,0,0.001,0,0,0,0,0,0,2.01
441,1.73,0.51,1.48,0.15,0,0,0,0.45,0,0,0,0,0,0,0,0,0,0,2.25
442,0.11,0.87,0.15,0,0.12,0.11,0.11,0.65,0,0,0,0,0,0,0,0,0,0,2.65
443,0.41,0.32,0,0.2,0,0.23,0,0,0,0,0.007,0,0,0,0,0,0,0,2.41
444,0.26,0.3,0,0,0.65,0.32,0.1,0.2,0,0,0,0,0,0,0,0,0,0,2.33
445,0,0,0.32,0,0,0,0.15,0.1,0,0,0,0,0,0,0,0,0,0,2
446,0.32,0.1,0.32,0,0,0.63,0,0.32,0,0,0,0,0.04,0,0.15,0,0,0,1.85
447,0,0.29,0.11,0.32,0,0.3,0.32,0,0,0,0,0,0,0,0,0,0,0,1.62
448,0.242,0.33,0.14,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,2.08
449,0,0.1,0,0,0.15,0.15,0,0.41,0.1,0.01,0,0,0,0,0,0,0,0,2.66
450,0,0.11,0,0,0.1,0.42,0,0,0,0,0,0.002,0,0,0,0,0,0,2.32
451,0.15,0,0,0,0,0.37,0,0.17,0,0,0,0,0.32,0,0,0,0,0,2.15
452,0.25,0.52,0.1,0,0.1,0,0,0.11,0,0,0,0,0,0,0,0.01,0.05,0,2.01
453,0,0,0,0.45,0,0.15,0,0,0,0,0,0,0,0,0.52,0,0,0,2.88
454,0,0.42,0.07,0.015,1.53,0,0,0,0.156,0,0,0,0,0,0,0,0,0,2.6
455,0,0.51,0,0,0,0,0,0.61,0,0.008,0,0,0,0,0,0,0,0,2.15
456,0,0,0.721,0,0,0.1,0,0,0,0,0,0.003,0,0,0,0,0,0,1.5
457,0,0,0,0,0.3,0,0.26,0.5,0,0,0,0,0.1,0,0,0,0,0,2.14
458,0.77,0.3,0,0,0,0.51,0,0.21,0,0,0.001,0,0,0,0,0,0,0,1.45
459,0.51,0,0,0.35,0.6,0.12,0,0.1,0,0,0,0,0,0,0.52,0,0,0,3.25
460,0.2,0.32,0,0,0,0,0,0,0.512,0,0,0,0,0,0,0,0,0,1.78
461,0,0.1,0.1,0,0,0,0,0.04,0,0.009,0,0,0,0,0,0,0,0,2.11
462,0.1,0.2,0,0.5,0,0.521,0,0.36,0,0.1,0,0.01,0,0,0,0,0,0,4.89
463,0.51,0,0.21,0,1.04,0,0,0,0,0,0,0,0,0,0,0,0,0,2.21
464,0,0.16,0.5,0,0.1,0,0.41,0,0.1,0,0.004,0,0,0,0,0,0,0,2.58
465,0,0,0.55,0,0,0.32,0,0.08,0,0,0,0,0,0,0,0,0,0,0.59
466,0.27,0,0,0.1,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0.89
467,0,0.232,0.2,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,2.65
468,0.2,0,0.1,0,0.656,0.516,0,0.1,0,0,0,0,0,0,0,0,0,0,2.88
