S.N,AC1,AC2,AC3,BE1,BE2,BE3,D1,D2,D3,F1,F2,F3,G1,G2,G3,H1,H2,H3,PCI
101,0,0,0,0,0,0,0,0.01,0.13,0.98,0,0,0,0.156,0.48,0,0,0,64
102,0.665,3.05,0.995,0,0.11,0,0,0,0,0,0.15,0,0,0,0,0,0,0,34
103,0,0,0,0.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
104,0,0.45,0.7,2.77,0.55,0.56,0,0.796,1.28,0,0.12,1.2,0,0,0.11,0.48,0,0,34
105,0.6,1.12,2.53,0,1.56,0.23,0,0.26,0.32,0.05,0.06,0.01,0,0,0.12,0.23,0,0.26,34
106,0.73,0,0.23,0,0.26,2.3,0.43,0,0,0,0,0,0,0.2,0,0,0,0,82
107,0.66,0,0.5,0.15,0.5,0,0,0,0,0.1,0,0.03,0,0,0,0,0,0,58
108,0,0.43,1.3,0.14,0.66,0,0,0,0,0,0.05,0,0,0,0,0,0,0,36
109,0.72,0,0,0,0.26,2.5,0,0,0.2,0,0,0,0,0,0.23,0,0,1.2,36
110,0.22,1.2,0.12,0,0,0,0,0,0,0.13,0,0.05,0,0,0,0.25,0,0,50
111,0.6,0.66,0.51,0,1.23,0.2,0.3,0.1,0,0,0,0,0,0.5,0,0,0,0,62
112,0.6,0,1.5,0.25,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,88
113,0.8,1.11,0,0,0,0,0,0,0,0.23,0,0.05,0,0,0,0,0,0.25,44
114,0,0.65,0.1,0,1.22,0,0,0.2,0.2,0,0,0,0,0,0.01,0.26,0,0,74
115,0.5,0.12,0.23,0.36,0,0,0,0,0.12,0,0,0,0,0.6,0,0,0,0,70
116,0.3,0.23,0.69,0,0,0,0,0.3,0.15,0.1,0.02,0.01,0,0,0,0,0,0,54
117,0.68,1.23,0.1,0,0.33,0,0,0,0,0.12,0,0.02,0,0,0,0,0,0.55,54
118,0,0,0.33,0,0,0,0.2,0,0,0.01,0,0.01,0,0,0.14,0,0,0,76
119,1.21,1.25,#VALUE!,0.25,0,1.38,0.1,0,0.79,0,0,0.1,0,0.12,0,0,1.2,0,32
120,0,0.61,0.23,0.45,0.32,1.25,0.21,0.49,0,0.1,0,0.2,0.25,0,0,0,0,0,28
121,1.23,0.36,0,0,0,0,0,0.1,0,0,0.02,0.7,0,0,0,0,0,0.44,0
122,0.8,0,0.9,0,0,1.23,0,0,0,0,0,0.6,0,0,0,0,0,0,2
123,0.756,1.23,0.6,0.15,0.62,0.15,0,0,0.11,0,0,0,0,0.23,0.15,0.23,0,0,62
124,1.23,0.25,0.7,0.66,0,0,0,1.01,0,0,0.12,0,0.12,0,0,0,0,0,58
125,0.2,1.79,0,0,0,0,0.513,0.3,0.83,0.1,0,0.6,0,0,0,0,0,0.55,8
126,0.1,0.2,0.2,0,0,1.56,0,0,0,0,0,0.04,0,0,0,0,1.4,0,54
127,0.62,1.22,0.12,0.12,1.23,0,0.12,0.122,0.45,0,0,0,0,0.35,0.01,0,0,0,70
128,1.2,0,0.9,0,0,0,0.36,0.4,0,0,0.2,0,0.36,0,0,0.15,0,0.6,48
129,1.5,1.96,0.2,1.65,0,0.15,0,0,0,0,0,0.15,0,0,0,0,0,0,35
130,0.53,0.47,0.98,0,0.23,1.05,0.3,0.01,0.11,0.08,0,0,0,0.15,0.04,0,0.25,0.5,60
131,0,0.23,0.15,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,82
132,1.83,0.6,0.12,1.85,0.12,0,0.22,0.34,0,0.04,0.01,0.4,0.45,0,0,0.15,0,0,18
133,0,1.11,0.66,0,0,0,0.75,0.15,0.3,0,0,0,0,0.45,0.05,0,0,0,52
134,0.6,0.9,0.33,0.25,1.23,0.98,0.32,0,0.1,0,0,0,0,0,0,0,0.23,0.5,72
135,0.6,0.3,0.48,0,1.01,0.15,0,0.3,0.15,0.4,0,0.08,0,0.56,0,0,0,0,28
136,2.24,0,0.27,0,1.35,0,0.3,0,0.6,0,0.2,0,0.55,0,0.2,0.56,0,0,32
137,0.45,0,0.11,0,0,0,0,0.15,0.14,0,0,0.07,0,0,0,0,0,0.15,50
138,0.33,2.05,0.15,0,0.32,0.56,0.12,0,0,0,0,0.4,0,0.65,0.05,0,0.56,0,18
139,3.05,0.48,0.6,0.6,0.23,0.17,0.12,0,0.37,0.4,0,0,0,0,0,0,0,0,50
140,0.15,0,1.63,0,0,0,0.5,0.15,0,0,0.23,0,0.36,0,0.25,0,0,0.78,48
141,0.3,0.26,0.22,0,1.05,0,0.3,0.56,0.45,0,0,0,0,0.87,0,0,1.25,0,58
142,0,1.91,0.22,0,0.6,0.26,0.43,0,0.15,0.01,0,0.3,0,0,0,0,0,0,16
143,0.856,0,1.13,1.3,0.6,0,0,0.22,0,0,0,0,0.2,0.79,0.15,0,0,0.15,74
144,0,0.23,1.05,0.1,0.25,0.56,0,0,0,0,0.03,0,0,0,0,0,0.33,0,60
145,0.38,0.33,0.16,0,0.18,0.45,0,0,0.17,0,0,0.2,0,0,0,0,0,0,30
146,1,1.25,0.645,0.66,0.23,0,0.2,0.5,0,0,0,0,0,0.99,0.19,0,0,0.5,56
147,0.61,1.7,0.6,0,0.66,0.66,0,0.21,0.48,0.01,0.32,0,0,0,0,0,1,0,38
148,0.37,0,1.05,1.455,0.23,0,0,0,0.45,0,0,0.1,0,0,0,0,2.3,0,24
149,0.8,0.8,0.33,0,0.62,0,0,0.3,0.15,0,0,0,0,0.15,0.56,0,0,0.5,50
150,0,0.2,0.3,1.25,0.35,0.6,0,0,0,0,0,0,0,0,0,0,0,0,86
151,0.23,0.45,1.81,0,0.2,0,0.33,0,0.69,0,0.01,0.4,0.25,0,0,0,0.25,0,14
152,0.6,0.16,0,0,0.2,0,0,0.12,0.19,0,0,0,0,0,0,0,0,0.5,68
153,0.45,0.14,0,0,0.9,1,0,0.25,0.2,0.01,0,0,0,0,0,0,0,0,62
154,0,1.2,0,1.22,0.15,0,0,0.1,0.63,0,0,0,0.22,0,0,0,0.455,0,54
155,0,0,0.48,0,0,0,0,0,0.5,0,0.13,0,0,0,0,0,0,0.5,60
156,0.52,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,86
157,0.22,0.5,0,0,0.03,0.23,0,0.22,0,0,0,0,0.5,0,0,0,0,0,86
158,0,0,0,0,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0.12,94
159,0.6,0.23,0.6,0,0.2,0,0,0.76,0,0.04,0,0,0,0,0,0,0,0,80
160,0.6,0,0,0,0,0.45,0,0,0,0,0.25,0,0,0,0,0,0,0,44
161,0,0,0,0,0.26,0,0,0,0.23,0,0,0,0,0,0,0,0,0,91
162,0,0.3,0.6,0.6,0,0.4,0,0,0.2,0,0.12,0,0,0,0,0,0,0.08,56
163,1.5,2.4,0,0.1,1.2,0.1,0,0,0,0,0.01,0.05,0,0,0,0,0,0,44
164,2.18,1.2,0.605,0,0.84,0.78,0.3,0.12,0.53,0.15,0,0.06,0.15,0,0.63,0.66,0,0.8,28
165,0,0.99,1.59,0,1.9,2.96,0.22,0.7,0.23,0,0.06,0,0,0.23,0,0,0,0,38
166,0,0.56,0.85,0,0,0.66,0,0,0,0,0,0,0.23,0,0.66,0,0,0,58
167,1.29,0.6,0,0,0,0.8,0,0.75,0,0,0,0,0,0,0,0,0,0,74
168,0,0.6,0.473,0,0.56,0.65,1.91,0.25,0,0.26,0,0,0,0,0,0,0,0.6,32
169,0,0.25,0.65,0,0,0.78,0.23,0.26,0,0,0.02,0,0,0,0.15,0,0,0,74
170,0,0.95,1.1,0,1.6,0,0.23,0.6,0.8,0,0,0.1,0,0,0,0,0,0,18
171,0.6,0,0.56,0,1.2,0,0,1.13,0,0,0,0,0,0,0,0,0,0,76
172,0.45,0,0,0,0.23,0,0.32,0.62,0.556,0.31,0,0,0,0,0,0,0.45,0,48
173,0,1.46,1.16,0,0,0.69,0.1,0.3,0.26,0,0.03,0,0.3,0.3,0,0,0,0.45,50
174,0,0.65,1.8,0,2.1,0,0.21654,0.23,0.6,0,0,0,0,0,0.23,0,0,0,40
175,0.62,0.66,0.662,0,0,0.54,0.51,0.6,0,0,0,0.08,0,0,0,0.451,0,0,42
176,0.23,1.44,1.21,0,0.96,0.6,0,0.37,0.62,0,0,0,0,0,0,0,0.645,0,54
177,0,1.1,0.94,0,0.8,1.23,0,0,1.03,0.18,0.04,0,0,0,0,0,0,0.69,28
178,0,0,0.26,0,0.6,0,1.23,0,0,0,0,0,0,0.12,0.455,0.12,0,0,72
179,1.73,1.6,0.26,0,0,0.5,0.15,0.63,0.123,0,0,0,0,0,0,0,0,0,66
180,0.89,0,0.63,0,2.75,0,0,0.85,0.717,0,0,0.06,0.15,0.22,0,0,0.66,0,26
181,0,0,2.14,1.23,0,1.22,0.7,0,0.12,0..66,0,0,0,0,0,0.66,0,0,60
182,0.78,1.475,0,0,0.9,0.5,0.63,0.42,0.323,0,0.05,0,0,0,0.45,0,0,1.23,36
183,0,1.3,0,0,2.1,0,0,0.03,1.3,0,0,0,0,0.15,0,0.15,0,0,40
184,0.66,0,0.6656,0,0.11,0.54,0,0,0,0,0,0,0,0,0,0,0.66,0,4.5
185,0.6,1.12,0.15,0,0,0.23,0.23,0.22,0.14,0,0.06,0.12,0,0,0,0,0,0,36
186,0.71,0.6,0,0,2.16,0.512,0,0.76,0.6,0,0,0,0,0,0.99,0.85,0,1.56,48
187,0.25,0.54,1.15,0,0.6,0,0.9,0.26,0,0.3,0,0,0.66,0,0,0.11,0,0,52
188,0.27,0.55,0.6,0,0,3.75,0.215,0.71,0,0,0.07,0,0,0.55,0,0,0.18,0,58
189,0.653,0.33,0.74,0,0.85,0.81,0.32,0.96,0.72,0,0,0,0,0,0.6,0,0,0,62
190,0.3,0,1.05,0,1.23,0,0,0.68,0,0,0,0.26,0,0,0,0,0,0.96,20
191,0.37,2.175,0.066,0,0.3,0,0.056,0.11,0.22,0,0,0,0,0,0,0.17,0,0,72
192,0.6,0,0.765,0,0.85,0.51,0.656,0.6,0.15,0,0.08,0,0,0,0.96,0,0.6,0,50
193,0,0.77,1.8,0,0.65,0,0.9,0.74,0,0.3,0,0,0,0,0,0,0,0,40
194,1.65,0.75,0.11,0,0,0.99,0.29,0,0.1,0,0,0.14,0,0.33,0,0,0,0.66,32
195,0,0.23,0,0,0.58,0.26,0,0,0.23,0,0,0,1.2,0,0.33,0.23,0.14,0,58
196,0,0.96,0.606,0,0,0,0,0.482,0.06,0,0.09,0,0,0,0,0,0,0,58
197,0.85,0.71,1.325,0,0.66,0.49,0.1,0,0,0,0,0,0,0,0,1.25,0,0,62
198,0.74,1.12,0.56,0,1.14,0,0.816,2.28,0,0.09,0,0.11,0.3,0,0.74,0,0,0.66,28
199,0.705,0,0,0,0,2.212,0,0,0.06,0,0,0,0,0,0,0.32,0.47,0,82
200,0,0.63,1.38,0,0,0.25,0.126,0,0,0,0.1,0,0,0.33,0,0,0,0,56
201,0.516,0.9,0.55,0,2.336,1.245,0,0,0.56,0,0,0,0.33,0,0.17,0,0,0,60
202,0.56,0.5,1.73,0,0.5,0.45,0.32,0,0,0,0,0,0.48,0,0,0.6,0,0,60
203,0,1.1,2.938,0,1.48,1.83,0.216,1.05,1.1,0.8,0.11,0,0,0.66,0,0,0.455,0.78,12
204,0,0,1.6,0,1.35,0,0,0,0,0.6,0,0.06,0.66,0,0.23,0.55,0,0,20
205,0.165,0.12,0.5,0,0.48,0,0,0,0.4,0,0,0,0,0,0,0,0,0,70
206,0.65,1.2,1.53,0,1,0.5,0.51,0,0,0,0.33,0,0,0,0.32,0,0.65,0,24
207,0.4,0,0.15,0,0.45,0,0,0,0,0,0,0,0.6,0.45,0,1.33,0,0,78
208,1,0.15,0.8,0,0.33,1.98,0.15,0,0.44,0,0,0.08,0,0.3,0,0.47,0,0,38
209,0.36,0,1.1,0,0,0,0.36,0.85,0,0,0,0,0,0.3,0,0,0.6,0,66
210,0.15,0.48,0.32,0,1.2,0,0.66,0,0,0,0,0.148,0,0,0,0,0,0,34
211,0,0,0,0,0.564,0,0.69,0.8,0.7,0,0,0,0,0,0,0,0,0,92
212,0,0.63,0,0,2.6356,0.75,0.31,0.7255,0.2,0,0,0,0,0.33,0,0,0,0,64
213,0,0.06,0,0,0.31,0.88,0.1,0.426,0.21,0,0,0,0,0,0.32,0.6,0,0,68
214,0.05,0,0.756,0,0.31,0,0.68,0,0.23,0,0,0,0,0,0,0,0,0,86
215,0.12,0.6,0.42,0,0.06,0.66,0,0,1.17,0.01,0,0,0,0.3,0,0,0,0,40
216,0.21,1.05,0.45,0,0,0.12,0.3,0.66,1.21,0,0,0,0,0,0,0.23,0,0,54
217,0,0.14,0.98,0.66,0.32,1.42,0.66,0.36,0,0,0,0,0,0,0,0,0,0,66
218,0,0.9,0.3,0,0.23,0.76,0,0.3,0.91,0,0,0,0,0.33,0,0.23,0,0,50
219,0.1,0.49,0.3,0,0.7,0.09,0.147,0,0.6,0.005,0,0,0,0,0,0,0,0.8,46
220,0.515,0,0.28,0.68,0,1.62,0.362,0,0,0,0.165,0,0,0,0.165,0,0.51,0,74
221,0,0,0,0.15,0,0.11,0.66,0.66,0,0,0,0,0,0,0,0,0.28,0,82
222,0.05,0.32,0,0,1.46,0,0,1.24,0,0,0,0,0,0,0,0,0,0,74
223,0.15,0.459,0.63,0,0,0.4,0,0.63,0.15,0,0,0,0,0,0.15,0.33,0,0,84
224,0.874,0.26,0.15,0,0.6,0.85,0,0.16,0,0.007,0,0,0,0,0,0,0,0,74
225,0.56,0.5,1.26,0.66,0,0.08,0,0.48,0,0,0,0,0,0,0,0,0,0,82
226,0.45,1.036,0.22,0,2.6,0,0.74,0.58,0.345,0,0,0,0,0,0,0,0,0,78
227,0,0.321,0,0,0.75,0.23,0,0,1,0.66,0,0,0,0.23,0.15,0.56,0,0.6,58
228,0,0,0,0.55,0.33,0.64,0.21,0.55,0.05,0,0,0,0,0.15,0.66,0,0.66,0,66
229,0,0,0.32,0,0,0.2,0.12,0,0.23,0.09,0.02,0.02,0.11,0.23,0,0.11,0.12,0,46
230,1.2,0,0,0.23,0,0,0.2,0.12,0,0.04,0,0.02,0,0,0,0,0.22,0.3,62
231,0,1.11,0,0.11,0.67,0.77,0,0.2,0.23,0.04,0.09,0,0,0,0.22,0.15,0,0,40
232,0.98,0,0,0.26,1.42,0,0.12,0.212,0,0,0,0.06,0,0.15,0.56,0,0.65,0,48
233,0.3,0.67,0.2,0.89,0.23,0,0,0.52,0.15,0,0,0,0,0,0.63,0.11,0.85,0,64
234,0,0,0,0,0.96,1.35,0,0.55,0,0,0.01,0,0,0.08,0,0,0,0.6,66
235,0,0,1.2,0,0.78,0.11,0,0,0.2,0,0.2,0,0,0,0.33,0,0,0.32,32
236,0,0.66,0.6,0.78,0,0,0.6,0,0.1,0,0,0.2,0,0.11,0,0,0.15,0,26
237,1.476,0.6,0.95,0.32,0.62,1.41,0,1.166,0.126,0,0.01,0.12,0,0.05,0.15,0,0.2,0.2,30
238,0,0.66,0,0.32,0.66,0,0,0.43,0.12,0,0,0,0,0,0,0.11,0.66,0,74
239,0,0,0,0.2,0,0.09,0,0,0,0.01,0,0,0.3,0,0,0,0.2,0,88
240,0,2.13202,0,0.12,0.2,0.501,0.6,0.6,0.3,0,0,0,0,0,0.2,0,0,0,58
241,1.2,0.6,1.15,0,0,0.3,0.78,0.25,1.02,0,0,0.23,0,0,0,0.01,0.3,0,20
242,0.66,0.7,0.66,0,0,0.67,0.6,0,0,0,0,0,0,0,0,0,0,0,66
243,0,0.32,0,0,0,0,0.51,0,0.33,0,0.07,0,0,0,0.6456,0.1,0,0,65
244,0.42,0.06,0.56,0.12,0.46,0.15,0,0.62,0,0,0,0,0,0.05,0,0,0,0,72
245,1.36,0,0.11,0,0.145,0.22,0.12,0,0.62,0,0,0,0,0,0,0,0,0,50
246,1.308,0.712,0.3976,0,0,0,0.4,0.12,0,0,0,0,0,0,0,0,0,0,80
247,1,0,1.01,0.23,0,0.32,0.2015,0.5,1.12,0,0,0,0,0,0,0,0,0,40
248,1.2,0.13,0.262,0.1,0.1,0.27,0.023,0.12,0.23,0,0.01,0,0,0,0,0,0,0,74
249,0,0.015,0.0321,0,0.6,0,0,0.26,0,0,0,0,0,0,0,0,0,0,84
250,0,0.11,0.15,0,0.51,0.623,0.71,0.031,0.3,0,0,0,0,0,0,0,0,0,62
251,0.25,1.1906,0.662,0,0.15,0.32,0.021,0.216,0,0,0,0,0,0,0,0,0,0,78
252,0.33,0.6,1.521,0,0,0,0.051,0,0,0,0,0.08,0,0,0.15,0,0,0,38
253,0.6,0.6,0.12,0.15,0,0.14,0,0,0,0,0,0,0,0,0.001,0,0,0,82
254,0.03,0.32,0,0,0,0,0,0,0,0.12,0,0,0,0.005,0,0,0,0,72
255,0,0,0.642,0,0.11,0,0.12,0.1,0.11,0,0,0,0,0,0,0,0,0,72
256,0.1,0.43,0,0,0,0,0.44,0.21,0,0,0,0,0,0,0,0,0,0,84
257,0,0,0.49,0,0,0.35,0,0.11,0.4,0,0,0,0,0,0,0,0,0,56
258,0,0,0.23,0.12,0,0.12,0,0.12,0.41,0,0,0,0,0,0,0,0,0,88
259,0,0,0,0,0,0.11,0.12,0,0,0,0,0,0,0,0,0,0,0,96
260,0.321,0.21,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0.137,0.11,82
